Fecha,Nuevos_JH,Nuevos_abiertos
2020-06-30,226088,274883
2020-07-01,231769,282472
2020-07-02,238510,289510
2020-07-03,245250,296572
2020-07-04,252164,300219
2020-07-05,256847,303202
2020-07-06,261749,311024
2020-07-07,268007,318897
2020-07-08,275002,326330
2020-07-09,282282,333458
2020-07-10,289173,340640
2020-07-11,295267,344490
2020-07-12,299749,347717
2020-07-13,304434,356534
2020-07-14,311485,364986
2020-07-15,317634,373775
2020-07-16,324040,382001
2020-07-17,331297,389953
2020-07-18,338912,394333
2020-07-19,344223,397744
2020-07-20,349395,406827
2020-07-21,356254,415458
2020-07-22,362273,423757
2020-07-23,370711,431808
2020-07-24,378284,439805
2020-07-25,385035,443943
2020-07-26,390515,446939
2020-07-27,395488,455389
2020-07-28,402696,463542
2020-07-29,408448,471198
2020-07-30,416178,478762
2020-07-31,424636,485454
2020-08-01,434192,489235
2020-08-02,439045,491738
2020-08-03,443812,499200
2020-08-04,449960,506559
2020-08-05,456099,513718
2020-08-06,462689,520389
2020-08-07,469406,526970
2020-08-08,475901,530631
2020-08-09,480277,533018
2020-08-10,485835,540187
2020-08-11,492521,547046
2020-08-12,498379,553461
2020-08-13,505750,559841
2020-08-14,511368,566020
2020-08-15,517713,569228
2020-08-16,522161,571531
2020-08-17,525732,578389
2020-08-18,531238,585047
2020-08-19,537030,591293
2020-08-20,543805,597264
2020-08-21,549733,603543
2020-08-22,556215,606651
2020-08-23,560163,608952
2020-08-24,563704,615944
2020-08-25,563704,622529
2020-08-26,573887,629530
2020-08-27,579913,635950
2020-08-28,585737,642248
2020-08-29,591711,645348
2020-08-30,595840,647512
2020-08-31,599559,654413
2020-09-01,606035,661440
2020-09-02,610956,668281
2020-09-03,616893,674496
2020-09-04,623089,680473
2020-09-05,629408,683278
2020-09-06,634022,685304
2020-09-07,637508,691591
2020-09-08,642859,698108
2020-09-09,647506,704077
2020-09-10,647506,709702
2020-09-11,658298,715116
2020-09-12,663972,717844
2020-09-13,668380,719678
2020-09-14,671715,725838
2020-09-15,676486,730089
2020-09-16,680930,732224
2020-09-17,684112,738516
2020-09-18,688953,744159
2020-09-19,694120,746900
2020-09-20,697662,748653
2020-09-21,700579,754875
2020-09-22,705262,760954
2020-09-23,710048,766623
2020-09-24,715456,771924
2020-09-25,720857,777177
2020-09-26,726430,779784
2020-09-27,730316,781535
2020-09-28,733716,787685
2020-09-29,738162,793644
2020-09-30,743215,799128
2020-10-01,748314,804336
2020-10-02,753089,809289
2020-10-03,753089,811665
2020-10-04,761664,813356
2020-10-05,765081,819097
2020-10-06,769557,824977
2020-10-07,799187,830621
2020-10-08,804487,836065
2020-10-09,809750,841719
2020-10-10,814327,844672
2020-10-11,817502,846789
2020-10-12,821044,853424
2020-10-13,825339,860386
2020-10-14,829395,866745
2020-10-15,834909,873081
2020-10-16,841660,879539
2020-10-17,847107,882720
2020-10-18,851226,884908
2020-10-19,854925,892900
2020-10-20,860713,901081
2020-10-21,867558,908265
2020-10-22,874170,915316
2020-10-23,880774,922364
2020-10-24,886799,925701
2020-10-25,891159,928035
2020-10-26,895325,936086
2020-10-27,901267,943867
2020-10-28,906862,950781
2020-10-29,912810,957392
2020-10-30,918810,963483
2020-10-31,924961,966298
2020-11-01,929391,968275
2020-11-02,933154,973140
2020-11-03,938404,980924
2020-11-04,943629,988110
2020-11-05,949196,995161
2020-11-06,955127,1001847
2020-11-07,961937,1005136
2020-11-08,967824,1007512
2020-11-09,972784,1015550
2020-11-10,978530,1023520
2020-11-11,986176,1031491
2020-11-12,991834,1039204
2020-11-13,997392,1046509
2020-11-14,1003252,1050182
2020-11-15,1006521,1052671
2020-11-16,1009395,1055682
2020-11-17,1011152,1064832
2020-11-18,1015070,1073189
2020-11-19,1019542,1081126
2020-11-20,1025968,1089098
2020-11-21,1032687,1093050
2020-11-22,1041874,1095626
2020-11-23,1049357,1105406
2020-11-24,1060151,1115219
2020-11-25,1070486,1124332
2020-11-26,1078593,1133559
2020-11-27,1086118,1142503
2020-11-28,1100682,1146952
2020-11-29,1107070,1149685
2020-11-30,1113542,1159847
2020-12-01,1122361,1170325
2020-12-02,1133612,1180779
2020-12-03,1144642,1190826
2020-12-04,1156769,1200315
2020-12-05,1168394,1205132
2020-12-06,1175849,1207741
2020-12-07,1182248,1218335
2020-12-08,1193254,1227965
2020-12-09,1205228,1236393
2020-12-10,1217125,1243701
2020-12-11,1229378,1248657
2020-12-12,1241435,1250043
2020-12-13,1250043,1250044
